MM-DD-YYYY,HH:MM:SS.000,Temp,WT17_Count,ADH16_Count,WT16_Count,WT15_Count,ADH18_Count,ADH17_Count,ADH19_Count,WT17_Start,ADH16_Start,WT16_Start,WT15_Start,ADH18_Start,ADH17_Start,ADH19_Start,WT17_Stop,ADH16_Stop,WT16_Stop,WT15_Stop,ADH18_Stop,ADH17_Stop,ADH19_Stop
1/28/25,42:53.2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/25,42:57.0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,2709,0,0,0,0,0,0,2944
1/28/25,42:56.4,24,0,0,0,0,0,0,1,0,0,0,0,0,0,2709,0,0,0,0,0,0,2944
1/28/25,42:56.4,24,0,0,0,0,0,0,2,0,0,0,0,0,0,3345,0,0,0,0,0,0,3351
1/28/25,42:57.5,24,0,0,0,0,0,0,2,0,0,0,0,0,0,3345,0,0,0,0,0,0,3351
1/28/25,42:57.7,24,0,0,0,0,0,0,3,0,0,0,0,0,0,3599,0,0,0,0,0,0,3636
1/28/25,42:57.7,24,0,0,0,0,0,0,3,0,0,0,0,0,0,3599,0,0,0,0,0,0,3636
1/28/25,42:57.9,24,0,0,0,0,0,1,3,0,0,0,0,0,3761,3755,0,0,0,0,0,3887,3636
1/28/25,42:58.6,24,0,0,0,0,0,1,4,0,0,0,0,0,3761,3755,0,0,0,0,0,3887,4524
1/28/25,42:58.6,24,0,0,0,0,0,1,4,0,0,0,0,0,3761,3755,0,0,0,0,0,3887,4524
1/28/25,42:58.7,24,0,0,0,0,0,1,5,0,0,0,0,0,3761,4692,0,0,0,0,0,3887,4710
1/28/25,42:58.8,24,0,0,0,0,0,1,6,0,0,0,0,0,3761,4777,0,0,0,0,0,3887,4783
1/28/25,42:58.9,24,0,0,0,0,0,1,6,0,0,0,0,0,3761,4777,0,0,0,0,0,3887,4783
1/28/25,43:00.6,24,0,0,0,0,0,1,6,0,0,0,0,0,3761,4962,0,0,0,0,0,3887,4783
1/28/25,43:12.5,24,0,1,0,0,0,1,6,0,18459,0,0,0,3761,4962,0,18483,0,0,0,3887,4783
1/28/25,43:12.6,24,0,2,0,0,0,1,6,0,18547,0,0,0,3761,4962,0,18571,0,0,0,3887,4783
1/28/25,43:12.9,24,0,3,0,0,0,1,6,0,18797,0,0,0,3761,4962,0,18827,0,0,0,3887,4783
1/28/25,43:13.0,24,0,4,0,0,0,1,6,0,18895,0,0,0,3761,4962,0,18919,0,0,0,3887,4783
1/28/25,43:12.3,24,0,5,0,0,0,1,6,0,19261,0,0,0,3761,4962,0,19303,0,0,0,3887,4783
1/28/25,43:13.4,24,0,6,0,0,0,1,6,0,20305,0,0,0,3761,4962,0,20317,0,0,0,3887,4783
1/28/25,43:14.9,24,0,6,0,0,0,1,7,0,20305,0,0,0,3761,4962,0,20317,0,0,0,3887,20815
1/28/25,43:15.6,24,0,7,0,0,0,1,7,0,21533,0,0,0,3761,4962,0,21563,0,0,0,3887,20815
1/28/25,43:15.7,24,0,7,0,0,0,1,8,0,21533,0,0,0,3761,21629,0,21563,0,0,0,3887,21635
1/28/25,43:15.8,24,0,7,0,0,0,1,8,0,21533,0,0,0,3761,21629,0,21563,0,0,0,3887,21635
1/28/25,43:15.8,24,0,7,0,0,0,1,9,0,21533,0,0,0,3761,21773,0,21563,0,0,0,3887,21785
1/28/25,43:16.0,24,0,7,0,0,0,1,10,0,21913,0,0,0,3761,21845,0,21563,0,0,0,3887,21924
1/28/25,43:15.2,24,0,8,0,0,0,1,10,0,21913,0,0,0,3761,21845,0,21976,0,0,0,3887,21924
1/28/25,43:15.2,24,0,9,0,0,0,1,10,0,22095,0,0,0,3761,22051,0,22137,0,0,0,3887,21924
1/28/25,43:15.3,24,0,10,0,0,0,1,10,0,22194,0,0,0,3761,22051,0,22224,0,0,0,3887,21924
1/28/25,43:15.3,24,0,11,0,0,0,1,10,0,22291,0,0,0,3761,22051,0,22315,0,0,0,3887,21924
1/28/25,43:15.5,24,0,12,0,0,0,1,10,0,22378,0,0,0,3761,22051,0,22421,0,0,0,3887,21924
1/28/25,43:16.9,24,0,13,0,0,0,1,10,0,22858,0,0,0,3761,22051,0,22894,0,0,0,3887,21924
1/28/25,43:16.3,24,0,14,0,0,0,1,10,0,22958,0,0,0,3761,22051,0,22994,0,0,0,3887,21924
1/28/25,43:16.3,24,0,14,0,0,0,1,10,0,22958,0,0,0,3761,22051,0,22994,0,0,0,3887,21924
1/28/25,43:16.4,24,0,14,0,0,0,1,11,0,22958,0,0,0,3761,22051,0,22994,0,0,0,3887,23358
1/28/25,43:17.9,24,0,14,0,0,0,1,12,0,22958,0,0,0,3761,23852,0,22994,0,0,0,3887,23858
1/28/25,43:17.2,24,0,14,0,0,0,1,13,0,22958,0,0,0,3761,24163,0,22994,0,0,0,3887,24193
1/28/25,43:17.3,24,0,14,0,0,0,1,14,0,22958,0,0,0,3761,24260,0,22994,0,0,0,3887,24290
1/28/25,43:17.4,24,0,14,0,0,0,1,15,0,22958,0,0,0,3761,24366,0,22994,0,0,0,3887,24384
1/28/25,43:18.6,24,0,14,0,0,0,1,16,0,22958,0,0,0,3761,24562,0,22994,0,0,0,3887,24586
1/28/25,43:19.5,24,0,14,0,0,0,1,17,0,22958,0,0,0,3761,25433,0,22994,0,0,0,3887,25457
1/28/25,43:21.7,24,0,15,0,0,0,1,17,0,27568,0,0,0,3761,25433,0,27665,0,0,0,3887,25457
1/28/25,43:27.4,24,0,15,0,0,0,2,17,0,27568,0,0,0,34295,25433,0,27665,0,0,0,34361,25457
1/28/25,43:28.6,24,0,15,0,0,0,3,17,0,27568,0,0,0,34509,25433,0,27665,0,0,0,34551,25457
1/28/25,43:28.3,24,0,15,0,0,0,3,18,0,27568,0,0,0,34509,35228,0,27665,0,0,0,34551,35252
1/28/25,43:29.6,24,0,15,0,0,0,3,19,0,27568,0,0,0,34509,35539,0,27665,0,0,0,34551,35593
1/28/25,43:29.1,24,0,15,0,0,0,3,20,0,27568,0,0,0,34509,36054,0,27665,0,0,0,34551,36103
1/28/25,43:29.3,24,0,15,0,0,0,3,21,0,27568,0,0,0,34509,36251,0,27665,0,0,0,34551,36287
1/28/25,43:29.4,24,0,15,0,0,0,4,21,0,27568,0,0,0,36375,36375,0,27665,0,0,0,36399,36287
1/28/25,43:30.5,24,0,15,0,0,0,4,22,0,27568,0,0,0,36375,36375,0,27665,0,0,0,36399,36446
1/28/25,43:30.6,24,0,15,0,0,0,4,23,0,27568,0,0,0,36375,36498,0,27665,0,0,0,36399,36534
1/28/25,43:30.7,24,0,15,0,0,0,4,24,0,27568,0,0,0,36375,36604,0,27665,0,0,0,36399,36640
1/28/25,43:30.8,24,0,15,0,0,0,5,24,0,27568,0,0,0,36698,36746,0,27665,0,0,0,36758,36640
1/28/25,43:30.8,24,0,15,0,0,0,5,25,0,27568,0,0,0,36698,36746,0,27665,0,0,0,36758,36804
1/28/25,43:30.9,24,0,15,0,0,0,6,25,0,27568,0,0,0,36855,36746,0,27665,0,0,0,36867,36804
1/28/25,43:30.3,24,0,15,0,0,0,7,25,0,27568,0,0,0,36955,36746,0,27665,0,0,0,37003,36804
1/28/25,43:31.8,24,0,15,0,0,0,7,26,0,27568,0,0,0,36955,37760,0,27665,0,0,0,37003,37802
1/28/25,43:31.9,24,0,15,0,0,0,7,27,0,37864,0,0,0,36955,37856,0,27665,0,0,0,37003,37886
1/28/25,43:32.0,24,0,16,0,0,0,7,27,0,37864,0,0,0,36955,37856,0,37933,0,0,0,37003,37886
1/28/25,43:31.1,24,0,17,0,0,0,7,27,0,38044,0,0,0,36955,37856,0,38086,0,0,0,37003,37886
1/28/25,43:31.2,24,0,17,0,0,0,7,28,0,38138,0,0,0,36955,38136,0,38086,0,0,0,37003,38166
1/28/25,43:31.2,24,0,18,0,0,0,7,28,0,38138,0,0,0,36955,38136,0,38213,0,0,0,37003,38166
1/28/25,43:31.3,24,0,19,0,0,0,7,28,0,38265,0,0,0,36955,38263,0,38271,0,0,0,37003,38166
1/28/25,43:31.4,24,0,19,0,0,0,7,29,0,38265,0,0,0,36955,38263,0,38271,0,0,0,37003,38325
1/28/25,43:32.5,24,0,20,0,0,0,7,29,0,38420,0,0,0,36955,38263,0,38463,0,0,0,37003,38325
