MM:DD:YY,WT5_Count,WT6_Count,WT7_Count,WT8_Count,ADH5_Count,ADH6_Count,ADH7_Count,ADH8_Count,WT5_Start,WT6_Start,WT7_Start,WT8_Start,ADH5_Start,ADH6_Start,ADH7_Start,ADH8_Start,WT5_Stop,WT6_Stop,WT7_Stop,WT8_Stop,ADH5_Stop,ADH6_Stop,ADH7_Stop,ADH8_Stop
6/10/24,0,0,0,0,0,1,0,0,0,0,0,0,0,18789,0,0,0,0,0,0,0,18813,0,0
6/10/24,0,0,0,0,1,1,0,0,0,0,0,0,25615,18789,0,0,0,0,0,0,25639,18813,0,0
6/10/24,0,0,0,1,1,1,0,0,0,0,0,26492,25615,18789,0,0,0,0,0,26522,25639,18813,0,0
6/10/24,0,0,0,2,1,1,0,0,0,0,0,27044,25615,18789,0,0,0,0,0,27135,25639,18813,0,0
6/10/24,0,0,0,3,1,1,0,0,0,0,0,27212,25615,18789,0,0,0,0,0,27236,25639,18813,0,0
6/10/24,0,0,0,4,1,1,0,0,0,0,0,27331,25615,18789,0,0,0,0,0,27337,25639,18813,0,0
6/10/24,0,0,0,5,1,1,0,0,0,0,0,27406,25615,18789,0,0,0,0,0,27424,25639,18813,0,0
6/10/24,0,0,0,6,1,1,0,0,0,0,0,27483,25615,18789,0,0,0,0,0,27513,25639,18813,0,0
6/10/24,0,0,0,7,1,1,0,0,0,0,0,30343,25615,18789,0,0,0,0,0,30367,25639,18813,0,0
6/10/24,0,0,0,8,1,1,0,0,0,0,0,30600,25615,18789,0,0,0,0,0,30618,25639,18813,0,0
6/10/24,0,0,0,8,1,2,0,0,0,0,0,30600,25615,33059,0,0,0,0,0,30618,25639,33065,0,0
6/10/24,0,0,0,8,1,3,0,0,0,0,0,30600,25615,33175,0,0,0,0,0,30618,25639,33193,0,0
6/10/24,0,0,0,8,1,4,0,0,0,0,0,30600,25615,33252,0,0,0,0,0,30618,25639,33270,0,0
6/10/24,0,0,0,8,1,5,0,0,0,0,0,30600,25615,33329,0,0,0,0,0,30618,25639,33347,0,0
6/10/24,0,0,0,8,1,6,0,0,0,0,0,30600,25615,33406,0,0,0,0,0,30618,25639,33442,0,0
6/10/24,0,0,0,8,1,7,0,0,0,0,0,30600,25615,35431,0,0,0,0,0,30618,25639,35449,0,0
6/10/24,0,0,0,8,1,8,0,0,0,0,0,30600,25615,35523,0,0,0,0,0,30618,25639,35553,0,0
6/10/24,0,0,0,8,1,9,0,0,0,0,0,30600,25615,35649,0,0,0,0,0,30618,25639,35655,0,0
