MM-DD-YYYY,HH:MM:SS.000,Temp,ADH11_Count,ALDHKI1_Count,ADH10_Count,ADH9_Count,WT14_Count,WT12_Count,WT13_Count,WT11_Count,WT10_Count,WT9_Count,ADH11_Start,ALDHKI1_Start,ADH10_Start,ADH9_Start,WT14_Start,WT12_Start,WT13_Start,WT11_Start,WT10_Start,WT9_Start,ADH11_Stop,ALDHKI1_Stop,ADH10_Stop,ADH9_Stop,WT14_Stop,WT12_Stop,WT13_Stop,WT11_Stop,WT10_Stop,WT9_Stop
7/18/2024,10:34:12 AM,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/2024,10:34:24 AM,24.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10882,0,0,0,0,0,0,0,0,0,10906
7/18/2024,10:34:24 AM,24.75,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11625,0,0,0,0,0,0,0,0,0,11644
7/18/2024,10:34:24 AM,24.75,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11826,0,0,0,0,0,0,0,0,0,11886
7/18/2024,10:34:24 AM,24.75,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11943,0,0,0,0,0,0,0,0,0,11961
7/18/2024,10:34:25 AM,24.75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12959,0,0,0,0,0,0,0,0,0,12989
7/18/2024,10:34:25 AM,24.75,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13050,0,0,0,0,0,0,0,0,0,13074
7/18/2024,10:34:25 AM,24.75,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13148,0,0,0,0,0,0,0,0,0,13178
7/18/2024,10:34:26 AM,24.75,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13535,0,0,0,0,0,0,0,0,0,13571
7/18/2024,10:34:26 AM,24.75,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13646,0,0,0,0,0,0,0,0,0,13688
7/18/2024,10:34:26 AM,24.75,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13750,0,0,0,0,0,0,0,0,0,13798
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,13872,0,0,0,0,0,0,0,0,0,13908
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13977,0,0,0,0,0,0,0,0,0,14019
7/18/2024,10:34:26 AM,24.75,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14096,0,0,0,0,0,0,0,0,0,14132
7/18/2024,10:34:26 AM,24.75,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14204,0,0,0,0,0,0,0,0,0,14252
7/18/2024,10:34:26 AM,24.75,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14315,0,0,0,0,0,0,0,0,0,14364
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,14432,0,0,0,0,0,0,0,0,0,14481
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,14550,0,0,0,0,0,0,0,0,0,14598
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14672,0,0,0,0,0,0,0,0,0,14727
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,14800,0,0,0,0,0,0,0,0,0,14849
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,14916,0,0,0,0,0,0,0,0,0,14965
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,15046,0,0,0,0,0,0,0,0,0,15088
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,15158,0,0,0,0,0,0,0,0,0,15206
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15272,0,0,0,0,0,0,0,0,0,15327
7/18/2024,10:34:27 AM,24.75,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,15394,0,0,0,0,0,0,0,0,0,15448
7/18/2024,10:34:28 AM,24.75,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,15525,0,0,0,0,0,0,0,0,0,15568
7/18/2024,10:34:29 AM,24.75,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,15903,0,0,0,0,0,0,0,0,0,15933
7/18/2024,10:34:29 AM,24.75,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,16019,0,0,0,0,0,0,0,0,0,16049
7/18/2024,10:34:28 AM,24.75,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,16122,0,0,0,0,0,0,0,0,0,16164
7/18/2024,10:34:28 AM,24.75,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,16240,0,0,0,0,0,0,0,0,0,16282
7/18/2024,10:34:28 AM,24.75,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,16369,0,0,0,0,0,0,0,0,0,16405
7/18/2024,10:34:29 AM,24.75,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,16491,0,0,0,0,0,0,0,0,0,16533
